Fri Nov 1 2013,7:30 pm,Toronto Raptors,95,Atlanta Hawks,102,Box Score,,
Fri Nov 1 2013,7:30 pm,Milwaukee Bucks,105,Boston Celtics,98,Box Score,,
Fri Nov 1 2013,8:00 pm,Miami Heat,100,Brooklyn Nets,101,Box Score,,
Fri Nov 1 2013,7:00 pm,Cleveland Cavaliers,84,Charlotte Bobcats,90,Box Score,,
Fri Nov 1 2013,9:00 pm,Portland Trail Blazers,113,Denver Nuggets,98,Box Score,,
Fri Nov 1 2013,8:00 pm,Dallas Mavericks,105,Houston Rockets,113,Box Score,,
Fri Nov 1 2013,10:30 pm,San Antonio Spurs,91,Los Angeles Lakers,85,Box Score,,
Fri Nov 1 2013,8:00 pm,Detroit Pistons,108,Memphis Grizzlies,111,Box Score,OT,
Fri Nov 1 2013,8:00 pm,Oklahoma City Thunder,81,Minnesota Timberwolves,100,Box Score,,
Fri Nov 1 2013,7:00 pm,New Orleans Pelicans,90,Orlando Magic,110,Box Score,,
Fri Nov 1 2013,10:00 pm,Utah Jazz,84,Phoenix Suns,87,Box Score,,
Fri Nov 1 2013,10:00 pm,Los Angeles Clippers,110,Sacramento Kings,101,Box Score,,
Fri Nov 1 2013,7:00 pm,Philadelphia 76ers,109,Washington Wizards,102,Box Score,,
Sat Nov 2 2013,8:30 pm,Memphis Grizzlies,99,Dallas Mavericks,111,Box Score,,
Sat Nov 2 2013,10:30 pm,Sacramento Kings,87,Golden State Warriors,98,Box Score,,
Sat Nov 2 2013,7:00 pm,Cleveland Cavaliers,74,Indiana Pacers,89,Box Score,,
Sat Nov 2 2013,8:30 pm,Toronto Raptors,97,Milwaukee Bucks,90,Box Score,,
Sat Nov 2 2013,8:00 pm,Charlotte Bobcats,84,New Orleans Pelicans,105,Box Score,,
Sat Nov 2 2013,7:30 pm,Chicago Bulls,104,Philadelphia 76ers,107,Box Score,,
Sat Nov 2 2013,10:00 pm,San Antonio Spurs,105,Portland Trail Blazers,115,Box Score,,
Sat Nov 2 2013,9:00 pm,Houston Rockets,104,Utah Jazz,93,Box Score,,
Sun Nov 3 2013,6:00 pm,Boston Celtics,77,Detroit Pistons,87,Box Score,,
Sun Nov 3 2013,9:30 pm,Atlanta Hawks,103,Los Angeles Lakers,105,Box Score,,
Sun Nov 3 2013,6:00 pm,Washington Wizards,93,Miami Heat,103,Box Score,,
Sun Nov 3 2013,7:30 pm,Minnesota Timberwolves,109,New York Knicks,100,Box Score,,
Sun Nov 3 2013,7:00 pm,Phoenix Suns,96,Oklahoma City Thunder,103,Box Score,,
Sun Nov 3 2013,6:00 pm,Brooklyn Nets,86,Orlando Magic,107,Box Score,,
Mon Nov 4 2013,7:00 pm,Minnesota Timberwolves,92,Cleveland Cavaliers,93,Box Score,,
Mon Nov 4 2013,10:30 pm,Houston Rockets,118,Los Angeles Clippers,137,Box Score,,
Mon Nov 4 2013,8:00 pm,Boston Celtics,88,Memphis Grizzlies,95,Box Score,,
Mon Nov 4 2013,7:00 pm,Golden State Warriors,110,Philadelphia 76ers,90,Box Score,,
Tue Nov 5 2013,7:30 pm,Utah Jazz,88,Brooklyn Nets,104,Box Score,,
Tue Nov 5 2013,8:30 pm,Los Angeles Lakers,104,Dallas Mavericks,123,Box Score,,
Tue Nov 5 2013,9:00 pm,San Antonio Spurs,102,Denver Nuggets,94,Box Score,,
Tue Nov 5 2013,7:30 pm,Indiana Pacers,99,Detroit Pistons,91,Box Score,,
Tue Nov 5 2013,8:00 pm,Phoenix Suns,104,New Orleans Pelicans,98,Box Score,,
Tue Nov 5 2013,7:30 pm,Charlotte Bobcats,102,New York Knicks,97,Box Score,,
Tue Nov 5 2013,10:00 pm,Houston Rockets,116,Portland Trail Blazers,101,Box Score,,
Tue Nov 5 2013,10:00 pm,Atlanta Hawks,105,Sacramento Kings,100,Box Score,,
Tue Nov 5 2013,7:00 pm,Miami Heat,104,Toronto Raptors,95,Box Score,,
Wed Nov 6 2013,7:30 pm,Utah Jazz,87,Boston Celtics,97,Box Score,,
Wed Nov 6 2013,7:00 pm,Toronto Raptors,90,Charlotte Bobcats,92,Box Score,,
Wed Nov 6 2013,7:00 pm,Chicago Bulls,80,Indiana Pacers,97,Box Score,,
Wed Nov 6 2013,8:00 pm,New Orleans Pelicans,99,Memphis Grizzlies,84,Box Score,,
Wed Nov 6 2013,8:00 pm,Cleveland Cavaliers,104,Milwaukee Bucks,109,Box Score,,
Wed Nov 6 2013,8:00 pm,Golden State Warriors,106,Minnesota Timberwolves,93,Box Score,,
Wed Nov 6 2013,9:30 pm,Dallas Mavericks,93,Oklahoma City Thunder,107,Box Score,,
Wed Nov 6 2013,7:00 pm,Los Angeles Clippers,90,Orlando Magic,98,Box Score,,
Wed Nov 6 2013,7:00 pm,Washington Wizards,116,Philadelphia 76ers,102,Box Score,,
Wed Nov 6 2013,8:30 pm,Phoenix Suns,96,San Antonio Spurs,99,Box Score,,
Thu Nov 7 2013,9:00 pm,Atlanta Hawks,107,Denver Nuggets,109,Box Score,,
Thu Nov 7 2013,9:30 pm,Los Angeles Lakers,99,Houston Rockets,98,Box Score,,
Thu Nov 7 2013,7:00 pm,Los Angeles Clippers,97,Miami Heat,102,Box Score,,
Fri Nov 8 2013,7:00 pm,New York Knicks,101,Charlotte Bobcats,91,Box Score,,
Fri Nov 8 2013,8:00 pm,Utah Jazz,73,Chicago Bulls,97,Box Score,,
Fri Nov 8 2013,7:30 pm,Oklahoma City Thunder,119,Detroit Pistons,110,Box Score,,
Fri Nov 8 2013,7:00 pm,Toronto Raptors,84,Indiana Pacers,91,Box Score,,
Fri Nov 8 2013,8:00 pm,Dallas Mavericks,108,Minnesota Timberwolves,116,Box Score,,
Fri Nov 8 2013,8:00 pm,Los Angeles Lakers,85,New Orleans Pelicans,96,Box Score,,
Fri Nov 8 2013,7:00 pm,Boston Celtics,91,Orlando Magic,89,Box Score,,
Fri Nov 8 2013,7:00 pm,Cleveland Cavaliers,79,Philadelphia 76ers,94,Box Score,,
Fri Nov 8 2013,9:00 pm,Denver Nuggets,103,Phoenix Suns,114,Box Score,,
Fri Nov 8 2013,10:00 pm,Sacramento Kings,91,Portland Trail Blazers,104,Box Score,,
Fri Nov 8 2013,8:30 pm,Golden State Warriors,74,San Antonio Spurs,76,Box Score,,
Fri Nov 8 2013,7:00 pm,Brooklyn Nets,108,Washington Wizards,112,Box Score,OT,
Sat Nov 9 2013,7:30 pm,Orlando Magic,94,Atlanta Hawks,104,Box Score,,
Sat Nov 9 2013,7:30 pm,Indiana Pacers,96,Brooklyn Nets,91,Box Score,,
Sat Nov 9 2013,7:30 pm,Philadelphia 76ers,125,Cleveland Cavaliers,127,Box Score,2OT,
Sat Nov 9 2013,8:00 pm,Los Angeles Clippers,107,Houston Rockets,94,Box Score,,
Sat Nov 9 2013,8:00 pm,Golden State Warriors,90,Memphis Grizzlies,108,Box Score,,
Sat Nov 9 2013,7:30 pm,Boston Celtics,111,Miami Heat,110,Box Score,,
Sat Nov 9 2013,8:30 pm,Dallas Mavericks,91,Milwaukee Bucks,83,Box Score,,
Sat Nov 9 2013,10:00 pm,Portland Trail Blazers,96,Sacramento Kings,85,Box Score,,
Sat Nov 9 2013,7:00 pm,Utah Jazz,91,Toronto Raptors,115,Box Score,,
Sun Nov 10 2013,9:30 pm,Minnesota Timberwolves,113,Los Angeles Lakers,90,Box Score,,
Sun Nov 10 2013,12:00 am,San Antonio Spurs,120,New York Knicks,89,Box Score,,
Sun Nov 10 2013,7:00 pm,Washington Wizards,105,Oklahoma City Thunder,106,Box Score,OT,
Sun Nov 10 2013,8:00 pm,New Orleans Pelicans,94,Phoenix Suns,101,Box Score,,
Mon Nov 11 2013,7:30 pm,Orlando Magic,105,Boston Celtics,120,Box Score,,
Mon Nov 11 2013,7:00 pm,Atlanta Hawks,103,Charlotte Bobcats,94,Box Score,,
Mon Nov 11 2013,8:00 pm,Cleveland Cavaliers,81,Chicago Bulls,96,Box Score,,
Mon Nov 11 2013,8:00 pm,Toronto Raptors,104,Houston Rockets,110,Box Score,2OT,
Mon Nov 11 2013,7:00 pm,Memphis Grizzlies,79,Indiana Pacers,95,Box Score,,
Mon Nov 11 2013,10:30 pm,Minnesota Timberwolves,107,Los Angeles Clippers,109,Box Score,,
Mon Nov 11 2013,7:00 pm,San Antonio Spurs,109,Philadelphia 76ers,85,Box Score,,
Mon Nov 11 2013,10:00 pm,Detroit Pistons,103,Portland Trail Blazers,109,Box Score,,
Mon Nov 11 2013,9:00 pm,Denver Nuggets,100,Utah Jazz,81,Box Score,,
Tue Nov 12 2013,8:30 pm,Washington Wizards,95,Dallas Mavericks,105,Box Score,,
Tue Nov 12 2013,10:30 pm,Detroit Pistons,95,Golden State Warriors,113,Box Score,,
